ID,Name,GEO_ID,Pct_Pov,Pct_HS25,Pct_Bach25,Med_Inc,Pct_UE16
1,"Census Tract 1.01, Milwaukee County, Wisconsin",55079000101,31,89.3,34.1,35485,9.8
2,"Census Tract 1.02, Milwaukee County, Wisconsin",55079000102,21.5,90.3,29.5,44177,2.1
3,"Census Tract 2.01, Milwaukee County, Wisconsin",55079000201,27.5,80.9,17.4,35962,7.2
4,"Census Tract 2.02, Milwaukee County, Wisconsin",55079000202,10.2,89.3,30.1,63193,5.6
5,"Census Tract 3.01, Milwaukee County, Wisconsin",55079000301,2.8,94.8,34.1,72273,2.1
6,"Census Tract 3.02, Milwaukee County, Wisconsin",55079000302,21.6,90.9,18.8,47623,10.3
7,"Census Tract 3.03, Milwaukee County, Wisconsin",55079000303,31.9,88.2,14.6,54050,3.1
8,"Census Tract 3.04, Milwaukee County, Wisconsin",55079000304,10.2,89.7,34.1,69205,10.1
9,"Census Tract 4, Milwaukee County, Wisconsin",55079000400,31.7,84.3,16.3,32731,10.8
10,"Census Tract 5.01, Milwaukee County, Wisconsin",55079000501,26.8,92.9,17.1,53809,8
11,"Census Tract 5.02, Milwaukee County, Wisconsin",55079000502,28.1,80.7,13.9,39561,9.3
12,"Census Tract 6, Milwaukee County, Wisconsin",55079000600,27.1,87.7,12.1,49384,10.2
13,"Census Tract 7, Milwaukee County, Wisconsin",55079000700,32.6,86.1,20.9,46369,8.1
14,"Census Tract 8, Milwaukee County, Wisconsin",55079000800,29.4,85.7,25.3,45888,9.3
15,"Census Tract 9, Milwaukee County, Wisconsin",55079000900,39.8,94.9,18.8,40037,8.1
16,"Census Tract 10, Milwaukee County, Wisconsin",55079001000,23,86.8,8,32138,7.6
17,"Census Tract 11, Milwaukee County, Wisconsin",55079001100,30.3,84,12.3,33636,3.8
18,"Census Tract 12, Milwaukee County, Wisconsin",55079001200,48.7,82.6,7.5,27017,17.9
19,"Census Tract 13, Milwaukee County, Wisconsin",55079001300,27.9,80,14,39558,5
20,"Census Tract 14, Milwaukee County, Wisconsin",55079001400,32.3,81,13.1,41614,7.2
21,"Census Tract 15, Milwaukee County, Wisconsin",55079001500,41.7,81.2,9.7,35541,15.7
22,"Census Tract 16, Milwaukee County, Wisconsin",55079001600,24.6,85.6,9.5,41375,7.6
23,"Census Tract 17, Milwaukee County, Wisconsin",55079001700,30.4,89.1,12.5,46306,14.5
24,"Census Tract 18, Milwaukee County, Wisconsin",55079001800,21.2,82.7,10.7,36202,7.4
25,"Census Tract 19, Milwaukee County, Wisconsin",55079001900,41.6,84.6,13.3,37526,11.7
26,"Census Tract 20, Milwaukee County, Wisconsin",55079002000,43,77.3,14.3,34509,14.2
27,"Census Tract 21, Milwaukee County, Wisconsin",55079002100,47.1,83.5,4.4,25217,9.7
28,"Census Tract 22, Milwaukee County, Wisconsin",55079002200,30.6,88.1,18.2,31358,10.2
29,"Census Tract 23, Milwaukee County, Wisconsin",55079002300,28.5,84.8,15.8,35941,17.6
30,"Census Tract 24, Milwaukee County, Wisconsin",55079002400,50.5,91.7,9.4,28493,6.3
31,"Census Tract 25, Milwaukee County, Wisconsin",55079002500,36.2,87.2,9.7,34861,18.5
32,"Census Tract 26, Milwaukee County, Wisconsin",55079002600,43.9,87.2,9.5,29650,7
33,"Census Tract 27, Milwaukee County, Wisconsin",55079002700,43.2,94.8,11,24531,5.9
34,"Census Tract 28, Milwaukee County, Wisconsin",55079002800,32.3,83,4.6,29676,13.5
35,"Census Tract 29, Milwaukee County, Wisconsin",55079002900,27.8,79.5,13.5,31944,6.6
36,"Census Tract 30, Milwaukee County, Wisconsin",55079003000,42.2,80.3,14.7,43291,12.4
37,"Census Tract 31, Milwaukee County, Wisconsin",55079003100,26.2,84,15,46860,12.3
38,"Census Tract 32, Milwaukee County, Wisconsin",55079003200,33.1,86.3,19.2,46280,13
39,"Census Tract 33, Milwaukee County, Wisconsin",55079003300,25.8,89.5,23.1,44201,5.9
40,"Census Tract 34, Milwaukee County, Wisconsin",55079003400,14.1,90.7,29.2,40735,2.9
41,"Census Tract 35, Milwaukee County, Wisconsin",55079003500,41.8,80.7,17.8,48583,7.7
42,"Census Tract 36, Milwaukee County, Wisconsin",55079003600,36.6,89.7,19,32837,10.2
43,"Census Tract 37, Milwaukee County, Wisconsin",55079003700,29.4,92.1,19.5,45481,2.5
44,"Census Tract 38, Milwaukee County, Wisconsin",55079003800,13.2,88.3,21.2,37353,8.7
45,"Census Tract 39, Milwaukee County, Wisconsin",55079003900,23,87.8,18.1,32928,11
46,"Census Tract 40, Milwaukee County, Wisconsin",55079004000,31.4,88.8,15.9,25966,5.4
47,"Census Tract 41, Milwaukee County, Wisconsin",55079004100,25.3,86.6,17.7,31675,6.5
48,"Census Tract 42, Milwaukee County, Wisconsin",55079004200,43.5,77.9,5.8,27152,20
49,"Census Tract 43, Milwaukee County, Wisconsin",55079004300,35,86,21.5,31932,13.4
50,"Census Tract 44, Milwaukee County, Wisconsin",55079004400,35.1,81.2,13.9,30563,6.4
51,"Census Tract 45, Milwaukee County, Wisconsin",55079004500,43.3,80.5,4.8,27862,19.3
52,"Census Tract 46, Milwaukee County, Wisconsin",55079004600,29,80.3,10.3,30139,16.7
53,"Census Tract 47, Milwaukee County, Wisconsin",55079004700,52.3,76.2,6.9,27574,11.7
54,"Census Tract 48, Milwaukee County, Wisconsin",55079004800,34.9,74,6,35261,10.7
55,"Census Tract 49, Milwaukee County, Wisconsin",55079004900,18.6,93.1,25.3,41556,8.1
56,"Census Tract 50, Milwaukee County, Wisconsin",55079005000,19.9,89.2,28.8,48731,6.1
57,"Census Tract 51, Milwaukee County, Wisconsin",55079005100,39.9,79.9,11.9,31860,10.8
58,"Census Tract 52, Milwaukee County, Wisconsin",55079005200,17.9,90.7,25.6,55197,2.6
59,"Census Tract 53, Milwaukee County, Wisconsin",55079005300,5.5,95.8,31.7,57188,4.7
60,"Census Tract 54, Milwaukee County, Wisconsin",55079005400,21.3,95.8,36.7,47065,4.5
61,"Census Tract 55, Milwaukee County, Wisconsin",55079005500,3.4,94.9,41.4,77857,4.7
62,"Census Tract 56, Milwaukee County, Wisconsin",55079005600,12,94.3,51.4,71756,2.1
63,"Census Tract 57, Milwaukee County, Wisconsin",55079005700,14.1,98.1,42.1,72125,5
64,"Census Tract 58, Milwaukee County, Wisconsin",55079005800,19.3,93.5,50.1,65946,5.1
65,"Census Tract 59, Milwaukee County, Wisconsin",55079005900,29.2,92.4,22,37917,6.1
66,"Census Tract 60, Milwaukee County, Wisconsin",55079006000,41.2,83.2,11.5,30389,12.3
67,"Census Tract 61, Milwaukee County, Wisconsin",55079006100,44.8,81.8,25.4,37455,5.8
68,"Census Tract 62, Milwaukee County, Wisconsin",55079006200,34.4,84.4,10.5,30587,8
69,"Census Tract 63, Milwaukee County, Wisconsin",55079006300,66.1,73.9,5.8,24651,15.4
70,"Census Tract 64, Milwaukee County, Wisconsin",55079006400,64.6,72,0.5,22683,14
71,"Census Tract 65, Milwaukee County, Wisconsin",55079006500,44.3,69.9,8,19362,14.1
72,"Census Tract 66, Milwaukee County, Wisconsin",55079006600,33.8,72.9,8.3,23750,14
73,"Census Tract 67, Milwaukee County, Wisconsin",55079006700,45.8,74.5,15.1,27037,8.5
74,"Census Tract 68, Milwaukee County, Wisconsin",55079006800,42.9,78.7,5.5,23167,16.1
75,"Census Tract 69, Milwaukee County, Wisconsin",55079006900,41.2,83.2,4.6,22108,14.8
76,"Census Tract 70, Milwaukee County, Wisconsin",55079007000,56.7,79.2,7.9,19572,11.9
77,"Census Tract 71, Milwaukee County, Wisconsin",55079007100,22.6,93.4,48.4,53417,2.2
78,"Census Tract 72, Milwaukee County, Wisconsin",55079007200,26.2,92.2,46.1,52668,8.6
79,"Census Tract 73, Milwaukee County, Wisconsin",55079007300,61.3,98.1,66.3,55269,4.6
80,"Census Tract 74, Milwaukee County, Wisconsin",55079007400,56.6,99.5,81.5,113375,0.5
81,"Census Tract 75, Milwaukee County, Wisconsin",55079007500,45.3,98.2,81.9,87500,4.7
82,"Census Tract 76, Milwaukee County, Wisconsin",55079007600,19.7,96.3,67.2,54688,2
83,"Census Tract 77, Milwaukee County, Wisconsin",55079007700,36.3,98.9,66.6,35842,2.6
84,"Census Tract 78, Milwaukee County, Wisconsin",55079007800,60.9,92.2,50.7,31693,4.1
85,"Census Tract 79, Milwaukee County, Wisconsin",55079007900,12.9,95.5,51.9,47281,2.2
86,"Census Tract 80, Milwaukee County, Wisconsin",55079008000,29,94.9,44.6,44402,3.9
87,"Census Tract 81, Milwaukee County, Wisconsin",55079008100,38.8,74.6,13.9,22344,7.7
88,"Census Tract 84, Milwaukee County, Wisconsin",55079008400,45,74.3,7.7,18219,24.3
89,"Census Tract 85, Milwaukee County, Wisconsin",55079008500,30.3,84.4,9,20543,14.4
90,"Census Tract 86, Milwaukee County, Wisconsin",55079008600,46.4,82.4,7.1,39583,13.4
91,"Census Tract 87, Milwaukee County, Wisconsin",55079008700,50,62.9,11.7,14470,2.1
92,"Census Tract 88, Milwaukee County, Wisconsin",55079008800,50.4,71.3,6.1,18517,20.6
93,"Census Tract 89, Milwaukee County, Wisconsin",55079008900,53.2,84.5,6.4,25457,8.3
94,"Census Tract 90, Milwaukee County, Wisconsin",55079009000,50,77.6,6.9,28843,7.5
95,"Census Tract 91, Milwaukee County, Wisconsin",55079009100,51,84.9,16.4,26218,15.3
96,"Census Tract 92, Milwaukee County, Wisconsin",55079009200,32.2,84.9,25.5,37159,11.1
97,"Census Tract 93, Milwaukee County, Wisconsin",55079009300,20.5,91.4,42.2,63875,8.4
98,"Census Tract 94, Milwaukee County, Wisconsin",55079009400,7.5,96.6,57.4,75184,2.6
99,"Census Tract 95, Milwaukee County, Wisconsin",55079009500,11.2,95.6,55.9,72125,5.7
100,"Census Tract 96, Milwaukee County, Wisconsin",55079009600,44.8,67.6,4.8,27267,13.5
101,"Census Tract 97, Milwaukee County, Wisconsin",55079009700,40.7,52.7,9.2,28438,4.4
102,"Census Tract 98, Milwaukee County, Wisconsin",55079009800,55.3,79.9,5.2,22857,21.5
103,"Census Tract 99, Milwaukee County, Wisconsin",55079009900,30.2,83.5,7.2,31458,16.6
104,"Census Tract 106, Milwaukee County, Wisconsin",55079010600,17.3,86.1,26.9,47500,9.3
105,"Census Tract 107, Milwaukee County, Wisconsin",55079010700,14.9,91.5,49.5,57267,5.4
106,"Census Tract 108, Milwaukee County, Wisconsin",55079010800,23,99,62.8,42083,1.3
107,"Census Tract 110, Milwaukee County, Wisconsin",55079011000,24.3,97.5,52.2,35243,3.4
108,"Census Tract 111, Milwaukee County, Wisconsin",55079011100,25.3,97.1,61.5,45807,4.5
109,"Census Tract 112, Milwaukee County, Wisconsin",55079011200,30.3,87.2,58.5,49679,0.8
110,"Census Tract 113, Milwaukee County, Wisconsin",55079011300,24.6,95.8,71.4,75123,0.6
111,"Census Tract 114, Milwaukee County, Wisconsin",55079011400,4.1,96.7,76,73864,2.8
112,"Census Tract 122, Milwaukee County, Wisconsin",55079012200,50.8,70.7,15,21694,9.1
113,"Census Tract 123, Milwaukee County, Wisconsin",55079012300,42.6,86.7,19.7,19702,4.7
114,"Census Tract 124, Milwaukee County, Wisconsin",55079012400,9.5,96.8,41.3,50761,3.6
115,"Census Tract 125, Milwaukee County, Wisconsin",55079012500,13.7,97.2,53.4,71581,3
116,"Census Tract 126, Milwaukee County, Wisconsin",55079012600,16.7,98.4,39.5,52796,2.3
117,"Census Tract 127, Milwaukee County, Wisconsin",55079012700,25.2,91.9,45.1,66688,3
118,"Census Tract 128, Milwaukee County, Wisconsin",55079012800,36.4,94.7,37.8,49312,3.7
119,"Census Tract 129, Milwaukee County, Wisconsin",55079012900,34.9,91.7,23.1,46627,7.6
120,"Census Tract 130, Milwaukee County, Wisconsin",55079013000,24.5,84.9,20.8,53214,6.5
121,"Census Tract 133, Milwaukee County, Wisconsin",55079013300,30.6,86.2,21.2,32773,3.7
122,"Census Tract 134, Milwaukee County, Wisconsin",55079013400,40.6,81.4,3.1,22346,7.8
123,"Census Tract 135, Milwaukee County, Wisconsin",55079013500,48.5,82.1,8.4,17429,14.6
124,"Census Tract 136, Milwaukee County, Wisconsin",55079013600,56.5,76.7,12.3,15704,14.2
125,"Census Tract 137, Milwaukee County, Wisconsin",55079013700,51.3,79,8.7,16914,10
126,"Census Tract 141, Milwaukee County, Wisconsin",55079014100,47.8,93.1,20.1,17326,4.5
127,"Census Tract 143, Milwaukee County, Wisconsin",55079014300,19.4,98.8,71.1,57697,4.1
128,"Census Tract 144, Milwaukee County, Wisconsin",55079014400,23.2,99.2,72.3,67075,1.8
129,"Census Tract 146, Milwaukee County, Wisconsin",55079014600,66.2,86.6,34.1,17101,6.9
130,"Census Tract 147, Milwaukee County, Wisconsin",55079014700,78.7,92.7,54.6,7917,2.5
131,"Census Tract 148, Milwaukee County, Wisconsin",55079014800,55.3,78.1,24.9,19855,7.6
132,"Census Tract 149, Milwaukee County, Wisconsin",55079014900,55.9,77.3,21.3,21063,4
133,"Census Tract 157, Milwaukee County, Wisconsin",55079015700,54.5,62.3,5.7,28839,10.8
134,"Census Tract 158, Milwaukee County, Wisconsin",55079015800,26.8,58.6,5.7,28670,5.4
135,"Census Tract 159, Milwaukee County, Wisconsin",55079015900,44.2,64.5,8.1,25432,8.2
136,"Census Tract 160, Milwaukee County, Wisconsin",55079016000,45,69.1,4.4,35777,8.9
137,"Census Tract 161, Milwaukee County, Wisconsin",55079016100,26.3,65.3,4.8,42386,5.9
138,"Census Tract 162, Milwaukee County, Wisconsin",55079016200,53.8,70.6,17.5,35102,8.1
139,"Census Tract 163, Milwaukee County, Wisconsin",55079016300,56.8,53.7,1.9,32346,13.7
140,"Census Tract 164, Milwaukee County, Wisconsin",55079016400,31.9,55.3,1.5,34702,17.7
141,"Census Tract 165, Milwaukee County, Wisconsin",55079016500,41.6,67.4,15.5,28542,10.4
